time,active_links,wind_vx,wind_vy,wind_vz,d0_x,d0_y,d0_z,d1_x,d1_y,d1_z,d2_x,d2_y,d2_z,d3_x,d3_y,d3_z
0.0000,6,0.000,1.500,0.000,-6.000,6.000,0.301,6.000,6.000,0.305,-6.000,-6.000,0.302,6.000,-6.000,0.301
0.0100,6,0.009,1.500,0.002,-6.000,6.000,0.303,6.000,6.000,0.314,-6.000,-6.000,0.306,6.000,-6.000,0.304
0.0200,6,0.019,1.500,0.003,-6.000,6.000,0.305,6.000,6.000,0.328,-6.000,-6.000,0.313,6.000,-6.000,0.309
0.0300,6,0.028,1.500,0.005,-6.000,6.000,0.309,6.000,6.000,0.346,-6.000,-6.000,0.322,6.000,-6.000,0.314
0.0400,6,0.037,1.500,0.007,-6.000,6.000,0.313,6.000,6.000,0.369,-6.000,-6.000,0.332,6.000,-6.000,0.322
0.0500,6,0.046,1.499,0.009,-6.000,6.000,0.318,6.000,6.000,0.396,-6.000,-6.000,0.345,6.000,-6.000,0.330
0.0600,6,0.056,1.499,0.010,-6.000,6.000,0.324,6.000,6.000,0.428,-6.000,-6.000,0.361,6.000,-6.000,0.340
0.0700,6,0.065,1.499,0.012,-6.000,6.000,0.331,6.000,6.000,0.465,-6.000,-6.000,0.378,6.000,-6.000,0.352
0.0800,6,0.074,1.499,0.014,-6.000,6.000,0.339,6.000,6.000,0.506,-6.000,-6.000,0.397,6.000,-6.000,0.365
0.0900,6,0.084,1.498,0.016,-6.000,6.000,0.348,6.000,6.000,0.550,-6.000,-6.000,0.419,6.000,-6.000,0.379
0.1000,6,0.093,1.498,0.017,-6.000,6.000,0.357,6.000,6.000,0.596,-6.000,-6.000,0.442,6.000,-6.000,0.395
0.1100,6,0.102,1.497,0.019,-6.000,6.000,0.367,6.000,6.001,0.642,-6.000,-6.000,0.467,6.000,-6.000,0.412
0.1200,6,0.111,1.497,0.021,-6.000,6.000,0.379,6.000,6.001,0.688,-6.000,-6.000,0.493,6.000,-6.000,0.431
0.1300,6,0.121,1.496,0.023,-6.000,6.000,0.391,6.000,6.001,0.735,-6.000,-6.000,0.520,6.000,-6.000,0.451
0.1400,6,0.130,1.496,0.024,-6.000,6.000,0.404,6.000,6.001,0.781,-6.000,-6.000,0.547,6.000,-6.000,0.473
0.1500,6,0.139,1.495,0.026,-6.000,6.000,0.418,6.000,6.001,0.826,-6.000,-5.999,0.575,6.000,-6.000,0.496
0.1600,6,0.148,1.494,0.028,-6.000,6.000,0.432,6.000,6.001,0.872,-6.000,-5.999,0.603,6.000,-6.000,0.520
0.1700,6,0.158,1.494,0.030,-6.000,6.000,0.448,6.000,6.001,0.917,-6.000,-5.999,0.631,6.000,-6.000,0.546
0.1800,6,0.167,1.493,0.031,-6.000,6.000,0.464,6.000,6.002,0.961,-6.000,-5.999,0.659,6.000,-5.999,0.574
0.1900,6,0.176,1.492,0.033,-6.000,6.000,0.482,6.000,6.002,1.005,-6.000,-5.999,0.687,6.000,-5.999,0.602
0.2000,6,0.185,1.491,0.035,-6.000,6.000,0.500,6.000,6.002,1.048,-6.000,-5.999,0.715,6.000,-5.999,0.633
0.2100,6,0.194,1.490,0.037,-6.000,6.001,0.519,6.000,6.002,1.091,-6.000,-5.999,0.743,6.000,-5.999,0.664
0.2200,6,0.203,1.489,0.038,-6.000,6.001,0.539,6.000,6.003,1.133,-6.000,-5.999,0.771,6.000,-5.999,0.697
0.2300,6,0.212,1.489,0.040,-6.000,6.001,0.559,6.000,6.003,1.174,-6.000,-5.999,0.798,6.000,-5.999,0.732
0.2400,6,0.222,1.488,0.042,-6.000,6.001,0.581,6.000,6.003,1.215,-6.000,-5.999,0.826,6.000,-5.999,0.768
0.2500,6,0.231,1.486,0.044,-6.000,6.001,0.603,6.000,6.003,1.256,-6.000,-5.998,0.853,6.000,-5.999,0.805
0.2600,6,0.240,1.485,0.045,-6.000,6.001,0.627,6.000,6.004,1.296,-6.000,-5.998,0.880,6.000,-5.999,0.844
0.2700,6,0.249,1.484,0.047,-6.000,6.001,0.651,6.000,6.004,1.335,-6.000,-5.998,0.907,6.000,-5.999,0.883
0.2800,6,0.258,1.483,0.049,-6.000,6.001,0.676,6.000,6.004,1.374,-6.000,-5.998,0.934,6.000,-5.999,0.924
0.2900,6,0.267,1.482,0.050,-6.000,6.001,0.702,6.000,6.005,1.412,-6.000,-5.998,0.960,6.000,-5.998,0.965
0.3000,6,0.276,1.481,0.052,-6.000,6.001,0.728,6.000,6.005,1.450,-6.000,-5.998,0.987,6.000,-5.998,1.007
0.3100,6,0.285,1.479,0.054,-6.000,6.001,0.756,6.000,6.006,1.487,-6.000,-5.998,1.013,6.000,-5.998,1.049
0.3200,6,0.294,1.478,0.056,-6.000,6.001,0.784,6.000,6.006,1.523,-6.000,-5.997,1.039,6.000,-5.998,1.091
0.3300,6,0.303,1.476,0.057,-6.000,6.001,0.813,6.001,6.006,1.559,-6.000,-5.997,1.065,6.000,-5.998,1.134
0.3400,6,0.311,1.475,0.059,-6.000,6.001,0.843,6.001,6.007,1.595,-6.000,-5.997,1.090,6.000,-5.998,1.176
