sim_time,uncertainty_pct,num_links,mean_degree,lambda_2_fiedler,ew_active,d0_x,d0_y,d0_z,d0_vx,d0_vy,d0_vz,d0_speed,d0_qw,d0_qx,d0_qy,d0_qz,d0_thrust_N,d0_soc_pct,d0_pos_err,d0_role,d1_x,d1_y,d1_z,d1_vx,d1_vy,d1_vz,d1_speed,d1_qw,d1_qx,d1_qy,d1_qz,d1_thrust_N,d1_soc_pct,d1_pos_err,d1_role,d2_x,d2_y,d2_z,d2_vx,d2_vy,d2_vz,d2_speed,d2_qw,d2_qx,d2_qy,d2_qz,d2_thrust_N,d2_soc_pct,d2_pos_err,d2_role,d3_x,d3_y,d3_z,d3_vx,d3_vy,d3_vz,d3_speed,d3_qw,d3_qx,d3_qy,d3_qz,d3_thrust_N,d3_soc_pct,d3_pos_err,d3_role,t0_x,t0_y,t0_z,t0_vx,t0_vy,t0_speed,t0_state,t0_is_spotted,t0_smoke_active,t1_x,t1_y,t1_z,t1_vx,t1_vy,t1_speed,t1_state,t1_is_spotted,t1_smoke_active,t2_x,t2_y,t2_z,t2_vx,t2_vy,t2_speed,t2_state,t2_is_spotted,t2_smoke_active
0.0,72.61,5,2.5,2.0,0,-7.999,7.999,1.5,0.099,-0.092,0.044,0.14,0.8639,0.136,0.3456,-0.3401,12.75,100.0,12.399,FLANKER,8.001,7.999,1.501,0.086,-0.111,0.113,0.18,0.8594,0.1273,0.2595,-0.4218,7.08,100.0,9.598,TRACKER,-7.999,-8.0,1.501,0.117,0.023,0.082,0.14,0.9527,-0.0282,0.288,0.0934,9.06,100.0,7.599,EXPLORER,-0.001,0.001,9.501,-0.061,0.062,0.089,0.12,0.3736,-0.1997,0.0827,0.902,10.71,100.0,3.844,RELAY,16.02,-8.037,0.3,2.011,-3.687,4.2,ACTIVE_EVASION,1,0,-21.979,10.025,0.3,2.094,2.513,3.27,PATROL,0,0,8.023,23.987,0.3,2.258,-1.29,2.6,PATROL,0,0
0.01,63.58,5,2.5,2.0,0,-7.997,7.997,1.501,0.198,-0.185,0.087,0.28,0.8631,0.1368,0.3475,-0.3399,12.75,100.0,12.397,FLANKER,8.003,7.997,1.503,0.171,-0.221,0.222,0.36,0.8583,0.129,0.2628,-0.4215,7.0,99.9,9.597,TRACKER,-7.996,-7.999,1.502,0.236,0.047,0.163,0.29,0.952,-0.0282,0.2905,0.0924,9.06,100.0,7.597,EXPLORER,-0.002,0.002,9.503,-0.13,0.13,0.173,0.25,0.3715,-0.223,0.0924,0.8965,10.71,100.0,4.398,RELAY,16.04,-8.074,0.3,2.017,-3.698,4.21,ACTIVE_EVASION,1,0,-21.958,10.05,0.3,2.096,2.515,3.27,PATROL,0,0,8.045,23.974,0.3,2.256,-1.289,2.6,PATROL,0,0
0.02,61.93,5,2.5,2.0,0,-7.994,7.994,1.503,0.298,-0.278,0.13,0.43,0.8623,0.1376,0.3493,-0.3397,12.75,100.0,12.396,FLANKER,8.005,7.993,1.507,0.257,-0.332,0.327,0.53,0.8572,0.1308,0.2661,-0.4211,6.92,99.9,9.595,TRACKER,-7.993,-7.999,1.505,0.355,0.07,0.243,0.44,0.9513,-0.0281,0.2932,0.0914,9.06,100.0,7.596,EXPLORER,-0.004,0.004,9.505,-0.198,0.199,0.256,0.38,0.3714,-0.2247,0.0931,0.896,10.71,100.0,4.396,RELAY,16.061,-8.111,0.3,2.023,-3.709,4.23,ACTIVE_EVASION,1,0,-21.937,10.075,0.3,2.097,2.517,3.28,PATROL,0,0,8.068,23.961,0.3,2.255,-1.289,2.6,PATROL,0,0
0.03,61.6,5,2.5,2.0,0,-7.99,7.991,1.504,0.399,-0.371,0.172,0.57,0.8615,0.1384,0.3512,-0.3395,12.75,100.0,12.394,FLANKER,8.009,7.989,1.511,0.342,-0.442,0.429,0.7,0.856,0.1325,0.2696,-0.4207,6.84,99.9,9.594,TRACKER,-7.988,-7.998,1.508,0.475,0.093,0.322,0.58,0.9505,-0.0281,0.296,0.0903,9.06,99.9,7.595,EXPLORER,-0.007,0.007,9.509,-0.268,0.268,0.339,0.51,0.3713,-0.2264,0.0938,0.8956,10.71,100.0,4.395,RELAY,16.081,-8.148,0.3,2.029,-3.72,4.24,ACTIVE_EVASION,1,0,-21.916,10.101,0.3,2.099,2.518,3.28,PATROL,0,0,8.09,23.948,0.3,2.254,-1.288,2.6,PATROL,0,0
0.04,61.54,5,2.5,2.0,0,-7.985,7.986,1.506,0.499,-0.465,0.214,0.71,0.8607,0.1392,0.353,-0.3393,12.75,100.0,12.393,FLANKER,8.013,7.983,1.516,0.428,-0.552,0.528,0.88,0.8548,0.1343,0.2731,-0.4203,6.76,99.8,9.592,TRACKER,-7.982,-7.997,1.512,0.596,0.116,0.401,0.73,0.9497,-0.028,0.2988,0.0893,9.06,99.9,7.593,EXPLORER,-0.01,0.01,9.513,-0.337,0.338,0.422,0.64,0.3712,-0.2281,0.0946,0.8951,10.71,99.9,4.394,RELAY,16.101,-8.185,0.3,2.035,-3.731,4.25,ACTIVE_EVASION,1,0,-21.895,10.126,0.3,2.1,2.52,3.28,PATROL,0,0,8.113,23.936,0.3,2.252,-1.287,2.59,PATROL,0,0
0.05,61.52,5,2.5,2.0,0,-7.979,7.98,1.509,0.6,-0.559,0.255,0.86,0.8599,0.14,0.3549,-0.3392,12.75,99.9,12.392,FLANKER,8.018,7.977,1.522,0.513,-0.663,0.623,1.04,0.8535,0.1362,0.2768,-0.4199,6.68,99.8,9.591,TRACKER,-7.975,-7.995,1.517,0.719,0.139,0.479,0.88,0.9489,-0.028,0.3018,0.0883,9.06,99.9,7.592,EXPLORER,-0.014,0.014,9.518,-0.407,0.408,0.504,0.77,0.3712,-0.2297,0.0953,0.8946,10.71,99.9,4.392,RELAY,16.122,-8.223,0.3,2.041,-3.742,4.26,ACTIVE_EVASION,1,0,-21.874,10.151,0.3,2.102,2.522,3.28,PATROL,0,0,8.135,23.923,0.3,2.251,-1.286,2.59,PATROL,0,0
0.06,61.52,5,2.5,2.0,0,-7.972,7.974,1.512,0.702,-0.654,0.295,1.0,0.8591,0.1408,0.3567,-0.339,12.75,99.9,12.39,FLANKER,8.024,7.969,1.53,0.598,-0.773,0.714,1.21,0.8522,0.1381,0.2805,-0.4195,6.6,99.8,9.589,TRACKER,-7.967,-7.993,1.522,0.843,0.162,0.556,1.02,0.948,-0.028,0.3049,0.0873,9.06,99.9,7.59,EXPLORER,-0.019,0.019,9.524,-0.478,0.479,0.586,0.9,0.3712,-0.2314,0.0961,0.8941,10.71,99.9,4.391,RELAY,16.142,-8.26,0.3,2.047,-3.753,4.28,ACTIVE_EVASION,1,0,-21.853,10.176,0.3,2.103,2.524,3.29,PATROL,0,0,8.158,23.91,0.3,2.249,-1.285,2.59,PATROL,0,0
0.07,61.52,5,2.5,2.0,0,-7.964,7.966,1.515,0.804,-0.749,0.335,1.15,0.8582,0.1416,0.3586,-0.3388,12.75,99.9,12.389,FLANKER,8.031,7.96,1.538,0.683,-0.884,0.802,1.37,0.8509,0.14,0.2843,-0.419,6.52,99.7,9.588,TRACKER,-7.957,-7.992,1.529,0.967,0.186,0.633,1.17,0.947,-0.0279,0.3081,0.0863,9.06,99.9,7.589,EXPLORER,-0.024,0.024,9.53,-0.549,0.551,0.668,1.02,0.3712,-0.2331,0.0968,0.8936,10.71,99.9,4.39,RELAY,16.163,-8.298,0.3,2.053,-3.764,4.29,ACTIVE_EVASION,1,0,-21.832,10.202,0.3,2.105,2.525,3.29,PATROL,0,0,8.18,23.897,0.3,2.248,-1.285,2.59,PATROL,0,0
0.08,61.47,5,2.5,2.0,0,-7.955,7.958,1.519,0.906,-0.845,0.374,1.29,0.8574,0.1424,0.3604,-0.3386,12.74,99.9,12.387,FLANKER,8.038,7.95,1.546,0.768,-0.994,0.886,1.54,0.8495,0.142,0.2882,-0.4185,6.44,99.7,9.586,TRACKER,-7.946,-7.99,1.536,1.093,0.208,0.708,1.32,0.946,-0.0278,0.3114,0.0852,9.06,99.9,7.588,EXPLORER,-0.03,0.031,9.538,-0.62,0.622,0.749,1.15,0.3712,-0.2348,0.0976,0.8931,10.71,99.9,4.389,RELAY,16.183,-8.336,0.3,2.059,-3.775,4.3,ACTIVE_EVASION,1,0,-21.811,10.227,0.3,2.106,2.527,3.29,PATROL,0,0,8.203,23.884,0.3,2.247,-1.284,2.59,PATROL,0,0
0.09,61.46,5,2.5,2.0,0,-7.945,7.949,1.523,1.008,-0.94,0.412,1.44,0.8566,0.1432,0.3622,-0.3384,12.68,99.9,12.386,FLANKER,8.047,7.939,1.556,0.853,-1.104,0.967,1.7,0.8481,0.1441,0.2921,-0.418,6.36,99.7,9.585,TRACKER,-7.934,-7.987,1.544,1.221,0.231,0.783,1.47,0.945,-0.0278,0.3148,0.0842,9.06,99.8,7.586,EXPLORER,-0.037,0.038,9.546,-0.692,0.695,0.83,1.28,0.3713,-0.2365,0.0984,0.8925,10.71,99.9,4.387,RELAY,16.204,-8.374,0.3,2.065,-3.786,4.31,ACTIVE_EVASION,1,0,-21.79,10.252,0.3,2.107,2.529,3.29,PATROL,0,0,8.225,23.871,0.3,2.245,-1.283,2.59,PATROL,0,0
