time,active_links,d0_x,d0_y,d0_z,d1_x,d1_y,d1_z,d2_x,d2_y,d2_z,d3_x,d3_y,d3_z
0.0000,6,-4.000,4.000,0.200,4.000,4.000,0.200,-4.000,-4.000,0.200,4.000,-4.000,0.200
0.0100,6,-4.000,4.000,0.201,4.000,4.000,0.201,-4.000,-4.000,0.201,4.000,-4.000,0.201
0.0200,6,-4.000,4.000,0.202,4.000,4.000,0.202,-4.000,-4.000,0.202,4.000,-4.000,0.202
0.0300,6,-4.000,4.000,0.203,4.000,4.000,0.203,-4.000,-4.000,0.203,4.000,-4.000,0.203
0.0400,6,-4.000,4.000,0.204,4.000,4.000,0.204,-4.000,-4.000,0.204,4.000,-4.000,0.204
0.0500,6,-4.000,4.000,0.206,4.000,4.000,0.206,-4.000,-4.000,0.206,4.000,-4.000,0.206
0.0600,6,-4.000,4.000,0.208,4.000,4.000,0.208,-4.000,-4.000,0.208,4.000,-4.000,0.208
0.0700,6,-4.000,4.000,0.211,4.000,4.000,0.211,-4.000,-4.000,0.211,4.000,-4.000,0.211
0.0800,6,-4.000,4.000,0.213,4.000,4.000,0.213,-4.000,-4.000,0.213,4.000,-4.000,0.213
0.0900,6,-4.000,4.000,0.216,4.000,4.000,0.216,-4.000,-4.000,0.216,4.000,-4.000,0.216
0.1000,6,-4.000,4.000,0.219,4.000,4.000,0.219,-4.000,-4.000,0.219,4.000,-4.000,0.219
0.1100,6,-4.000,4.000,0.223,4.000,4.000,0.223,-4.000,-4.000,0.223,4.000,-4.000,0.223
0.1200,6,-4.000,4.000,0.227,4.000,4.000,0.227,-4.000,-4.000,0.227,4.000,-4.000,0.227
0.1300,6,-4.000,4.000,0.231,4.000,4.000,0.231,-4.000,-4.000,0.231,4.000,-4.000,0.231
0.1400,6,-4.000,4.000,0.235,4.000,4.000,0.235,-4.000,-4.000,0.235,4.000,-4.000,0.235
0.1500,6,-4.000,4.000,0.240,4.000,4.000,0.240,-4.000,-4.000,0.240,4.000,-4.000,0.240
0.1600,6,-4.000,4.000,0.245,4.000,4.000,0.245,-4.000,-4.000,0.245,4.000,-4.000,0.245
0.1700,6,-4.000,4.000,0.250,4.000,4.000,0.250,-4.000,-4.000,0.250,4.000,-4.000,0.250
0.1800,6,-4.000,4.000,0.256,4.000,4.000,0.256,-4.000,-4.000,0.256,4.000,-4.000,0.256
0.1900,6,-4.000,4.000,0.261,4.000,4.000,0.261,-4.000,-4.000,0.261,4.000,-4.000,0.261
0.2000,6,-4.000,4.000,0.268,4.000,4.000,0.268,-4.000,-4.000,0.268,4.000,-4.000,0.268
0.2100,6,-4.000,4.000,0.274,4.000,4.000,0.274,-4.000,-4.000,0.274,4.000,-4.000,0.274
0.2200,6,-4.000,4.000,0.281,4.000,4.000,0.281,-4.000,-4.000,0.281,4.000,-4.000,0.281
0.2300,6,-4.000,4.000,0.288,4.000,4.000,0.288,-4.000,-4.000,0.288,4.000,-4.000,0.288
0.2400,6,-4.000,4.000,0.295,4.000,4.000,0.295,-4.000,-4.000,0.295,4.000,-4.000,0.295
0.2500,6,-4.000,4.000,0.302,4.000,4.000,0.302,-4.000,-4.000,0.302,4.000,-4.000,0.302
0.2600,6,-4.000,4.000,0.310,4.000,4.000,0.310,-4.000,-4.000,0.310,4.000,-4.000,0.310
0.2700,6,-4.000,4.000,0.318,4.000,4.000,0.318,-4.000,-4.000,0.318,4.000,-4.000,0.318
0.2800,6,-4.000,4.000,0.327,4.000,4.000,0.327,-4.000,-4.000,0.327,4.000,-4.000,0.327
0.2900,6,-4.000,4.000,0.335,4.000,4.000,0.335,-4.000,-4.000,0.335,4.000,-4.000,0.335
0.3000,6,-4.000,4.000,0.344,4.000,4.000,0.344,-4.000,-4.000,0.344,4.000,-4.000,0.344
0.3100,6,-4.000,4.000,0.354,4.000,4.000,0.354,-4.000,-4.000,0.354,4.000,-4.000,0.354
0.3200,6,-4.000,4.000,0.363,4.000,4.000,0.363,-4.000,-4.000,0.363,4.000,-4.000,0.363
0.3300,6,-4.000,4.000,0.373,4.000,4.000,0.373,-4.000,-4.000,0.373,4.000,-4.000,0.373
0.3400,6,-4.000,4.000,0.383,4.000,4.000,0.383,-4.000,-4.000,0.383,4.000,-4.000,0.383
0.3500,6,-4.000,4.000,0.393,4.000,4.000,0.393,-4.000,-4.000,0.393,4.000,-4.000,0.393
